250	249	250	249	249	249	250	249	250	249	249	249
250	9	250	249	249	249	250	9	250	249	249	249
250	65	250	249	249	249	250	65	250	249	249	249
249	9	249	249	249	249	249	9	249	249	249	249
249	249	249	249	249	249	249	249	249	249	249	249
249	249	249	249	249	249	249	249	249	249	249	249
249	249	249	250	249	250	249	249	249	250	249	250
249	249	249	250	9	250	249	249	249	250	9	250
249	249	249	250	65	250	249	249	249	250	65	250
249	249	249	249	9	249	249	249	249	249	9	249
249	249	249	249	249	249	249	249	249	249	249	249
249	249	249	249	249	249	249	249	249	249	249	249
250	249	250	249	249	249	250	249	250	249	249	249
250	9	250	249	249	249	250	9	250	249	249	249
250	65	250	249	249	249	250	65	250	249	249	249
249	9	249	249	249	249	249	9	249	249	249	249
